id,node1,node2,distance
3288,4242281970,746787170,110.729
3289,4261528977,607233798,46.577
3290,4261655424,606937318,69.724
3291,4261655424,606937317,69.45
3292,4261655424,4261655426,5.985
3293,4261655426,4261655424,5.985
3294,4261655435,4261655436,46.948
3295,4261655435,593898381,98.916
3296,4261655436,4261655437,14.649
3297,4261655436,4261655435,46.948
3298,4261655437,4261655436,14.649
3299,4268640749,607233919,59.539
3300,4268640749,607233671,11.307
3301,4270558488,606937123,23.531
3302,4270558488,606937122,41.884
3303,4270558488,4270560989,50.253
3304,4270560989,606937275,46.699
3305,4270560989,544355321,48.26
3306,4270560989,4270558488,50.253
3307,4270575248,1409885147,80.83599999999998
3308,4270651108,606937316,46.893
3309,4270651108,4341838911,9.502
3310,4270651108,606937352,85.722
3311,4270651109,606937317,35.796
3312,4270651109,606937316,39.371
3313,4270651109,4297188547,6.737
3314,4276978176,317338169,117.085
3315,4276978176,4172109232,93.434
3316,4297188547,4270651109,6.737
3317,4331243720,607235646,45.917
3318,4331243720,4331243722,46.264
3319,4331243720,4439778396,55.82
3320,4331243721,4439778396,51.49
3321,4331243721,4331243723,47.668000000000006
3322,4331243722,4331243720,46.264
3323,4331243722,607235639,50.79
3324,4331243722,5941662177,56.578
3325,4331243723,589643101,49.243
3326,4331243723,5941662177,51.117
3327,4331271526,2166238131,196.28799999999998
3328,4331445424,607235646,4.546
3329,4331445591,317337572,43.048
3330,4331493647,607234933,44.519
3331,4331493647,1273712021,28.134
3332,4331503412,607236051,62.995
3333,4331503412,607236026,61.962
3334,4331503412,589642694,176.22100000000003
3335,4332507063,9312871507,53.452000000000005
3336,4332507063,4332507067,30.816
3337,4332507067,589642633,135.57999999999998
3338,4332507087,2991672836,114.447
3339,4332672411,317337153,13.937999999999999
3340,4332672411,317337473,119.664
3341,4332689687,8796463076,47.476
3342,4332689687,475477111,103.40299999999999
3343,4332689687,475477551,180.87
3344,4336221944,316803496,12.635
3345,4336221944,9989609577,179.553
3346,4337268535,874898858,15.597
3347,4337268535,4337268536,10.977
3348,4337268536,1273986850,77.497
3349,4337268536,4337268535,10.977
3350,4337335334,4337335335,12.268
3351,4337335334,4337600049,111.747
3352,4337335335,4337335334,12.268
3353,4337335335,331596108,113.749
3354,4337344087,608421834,82.361
